"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[51]",61479.6670416479,61353.1,61457.8452102205,15808.5,0.95,52421.3,71282,NA,NA,NA,NA,NA,NA,NA
"beta0[52]",63105.9566821659,63323.6,64072.2813870439,11304.1,0.95,53401.1,72365.4,NA,NA,NA,NA,NA,NA,NA
"beta1[1]",1535.54390899979,1614.28,1743.45915387523,12553.2,0.95,-159.29,3133.24,NA,NA,NA,NA,NA,NA,NA
"beta1[2]",1919.64699811649,1865.21,1791.01954958327,13306.5,0.95,381.085,3625.2,NA,NA,NA,NA,NA,NA,NA
"beta1[3]",1350.78201908104,1475.66,1698.47868255201,6841.7,0.95,-520.84,2791.44,NA,NA,NA,NA,NA,NA,NA
"beta1[4]",1453.41279515899,1556.47,1703.96932930606,8036.7,0.95,-319.934,2923.26,NA,NA,NA,NA,NA,NA,NA
"beta1[5]",1574.1916770455,1630.91,1737.8379518876,12474,0.95,-129.859,3005.89,NA,NA,NA,NA,NA,NA,NA
"beta1[6]",1714.54993481866,1734.07,1798.43588890457,14951.9,0.95,116.496,3274.54,NA,NA,NA,NA,NA,NA,NA
"beta1[7]",1900.65170497427,1859.01,1846.57039176792,12499.2,0.95,380.251,3620.35,NA,NA,NA,NA,NA,NA,NA
"beta1[8]",1883.54668496255,1844.32,1845.09646862661,14856.6,0.95,381.127,3653.45,NA,NA,NA,NA,NA,NA,NA
"beta1[9]",826.051522287786,1108.68,1638.56283458649,4001.2,0.95,-1713.32,2558.87,NA,NA,NA,NA,NA,NA,NA
"beta1[10]",1901.6021480678,1856.73,1794.09068896594,13574.9,0.95,385.502,3565.64,NA,NA,NA,NA,NA,NA,NA
"beta1[11]",1568.82771425979,1630.57,1764.01170988962,12541.2,0.95,-81.8853,3129.89,NA,NA,NA,NA,NA,NA,NA
"beta1[12]",2640.19490896105,2364.76,1876.82288329657,4207.5,0.95,913.172,5094.39,NA,NA,NA,NA,NA,NA,NA
